AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,Annual_Pct10,Annual_Pct25,Annual_Median,Annual_Pct75,Annual_Pct90,Annual_Mean
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",*,*,*,*,*,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37300,39610,49920,60090,67410,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",37300,39610,49920,59710,67030,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40650,49300,65600,73870,91960,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",40650,49300,65600,73870,91960,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",30350,31930,58250,73840,73850,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",30350,31930,58250,73840,73850,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33970,38310,47150,60100,75680,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45240,59160,76970,96180,108230,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45240,59160,76970,96180,108230,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",45240,59160,76970,96180,108230,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34050,38800,47180,59130,71500,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",28700,28700,39610,59600,95520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",28700,28700,39610,59600,95520,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27820,35130,49140,62720,77620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",27820,35130,49140,62720,77620,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34730,39350,47170,58650,70070,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",34510,38300,45900,54750,67120,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35620,44250,53040,63540,76370,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35610,45780,48410,60770,62480,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35610,45780,48410,60770,62480,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33580,37110,45790,55970,69240,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",44470,49050,66770,79210,92670,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",44470,49050,66770,79210,92670,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",35720,41100,49570,63590,76830,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",36900,43750,51160,66360,77320,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",21680,36730,41760,52070,69030,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",33280,35760,43830,50490,61140,
